Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,PriorExperience
49,Current employee,Travel_Frequently,8,1,Life Sciences,Male,2,Research Scientist,Married,24907,1,No,10,10,0
59,Current employee,Non-Travel,2,4,Human Resources,Male,2,Research Scientist,Married,24907,1,No,10,10,0
59,Current employee,Non-Travel,2,4,Life Sciences,Male,2,Research Scientist,Married,24907,2,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Marketing,Male,2,Research Scientist,Married,24907,3,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Life Sciences,Male,2,Research Scientist,Married,24907,1,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Marketing,Male,2,Research Scientist,Married,24907,3,No,10,10,0
59,Current employee,Non-Travel,2,4,Human Resources,Male,2,Research Scientist,Married,24907,1,No,10,10,0
59,Current employee,Non-Travel,2,4,Life Sciences,Male,2,Research Scientist,Married,24907,2,No,16,14,2
49,Current employee,Travel_Frequently,8,1,Life Sciences,Male,2,Research Scientist,Married,24907,1,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Life Sciences,Male,2,Manufacturing Director,Single,22656,1,No,6,6,0
49,Current employee,Travel_Frequently,8,1,Life Sciences,Female,2,Manufacturing Director,Divorced,26314,2,No,19,10,9
59,Current employee,Non-Travel,2,4,Human Resources,Male,2,Research Scientist,Married,24907,1,No,10,10,0
59,Current employee,Non-Travel,2,4,Life Sciences,Male,2,Research Scientist,Married,24907,2,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Marketing,Male,2,Research Scientist,Married,24907,3,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Life Sciences,Male,2,Research Scientist,Married,24907,1,No,10,10,0
49,Current employee,Travel_Frequently,8,1,Marketing,Male,2,Research Scientist,Married,24907,3,No,10,10,0
59,Current employee,Non-Travel,2,4,Human Resources,Male,2,Research Scientist,Married,24907,1,No,10,10,0
59,Current employee,Non-Travel,2,4,Life Sciences,Male,2,Research Scientist,Married,24907,2,No,16,14,2
37,Voluntary Resignation,,2,2,Other,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
54,Current employee,Non-Travel,26,3,Human Resources,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Life Sciences,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
54,Current employee,Non-Travel,26,3,Technical Degree,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Other,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Life Sciences,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
54,Current employee,Non-Travel,26,3,Human Resources,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Other,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Other,Female,2,Healthcare Representative,Married,4386,0,No,7,6,1
54,Current employee,Non-Travel,26,3,Human Resources,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Life Sciences,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
54,Current employee,Non-Travel,26,3,Technical Degree,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Other,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
37,Voluntary Resignation,Travel_Rarely,2,2,Life Sciences,Male,1,Laboratory Technician,Single,2396,1,Yes,7,0,7
54,Current employee,Non-Travel,26,3,Human Resources,Male,1,Laboratory Technician,Single,2396,6,Yes,7,0,7
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Human Resources,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,2,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Married,23159,3,Yes,8,8,0
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,4,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
37,Voluntary Resignation,Travel_Rarely,6,4,Marketing,Female,2,Sales Executive,Single,19479,5,Yes,8,6,2
41,Voluntary Resignation,Travel_Rarely,1,2,Life Sciences,Female,2,Sales Executive,Single,19479,8,Yes,8,6,2
30,Current employee,Travel_Rarely,9,3,Human Resources,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Married,23159,3,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,2,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Male,1,Research Scientist,Married,5868,4,No,5,3,2
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Sales Representative,Single,21972,1,Yes,6,5,1
30,Current employee,Travel_Rarely,9,3,Human Resources,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,2,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Married,23159,3,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Human Resources,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
30,Current employee,Travel_Rarely,9,3,Medical,Female,1,Research Scientist,Married,23159,3,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,1,Yes,8,8,0
33,Current employee,Travel_Frequently,3,4,Life Sciences,Female,1,Research Scientist,Married,23159,2,Yes,8,8,0
27,Current employee,Travel_Rarely,2,1,Medical,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Human Resources,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Medical,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Human Resources,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Medical,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Medical,Male,1,Research Scientist,Married,21777,0,Yes,2,1,1
58,Current employee,Travel_Rarely,10,4,Medical,Male,1,Laboratory Technician,Married,16632,0,No,38,37,1
26,Termination,Travel_Rarely,16,4,Medical,Male,1,Laboratory Technician,Married,16632,2,Yes,5,3,2
27,Current employee,Travel_Rarely,2,1,Medical,Female,1,Sales Representative,Divorced,12253,0,No,3,2,1
25,Current employee,Travel_Rarely,13,1,Medical,Male,1,Laboratory Technician,Married,16632,1,No,7,7,0
31,Current employee,Travel_Rarely,2,3,Human Resources,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
31,Current employee,Travel_Rarely,8,2,Life Sciences,Male,1,Laboratory Technician,Married,16632,4,No,8,3,5
27,Current employee,Travel_Rarely,2,1,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Medical,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
27,Current employee,Travel_Rarely,2,1,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Human Resources,Male,1,Laboratory Technician,Married,16632,9,No,6,2,4
31,Current employee,Travel_Rarely,2,3,Life Sciences,Male,1,Laboratory Technician,Married,16632,1,No,6,2,4
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Human Resources,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Other,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Human Resources,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Other,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
44,Current employee,Non-Travel,23,3,Medical,Male,1,Laboratory Technician,Single,11864,4,No,17,3,14
28,Current employee,Travel_Rarely,8,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,5,5,0
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Married,12106,1,Yes,1,1,0
24,Voluntary Resignation,Travel_Frequently,7,3,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,Yes,6,6,0
34,Voluntary Resignation,Travel_Frequently,23,3,Human Resources,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
36,Current employee,Travel_Frequently,18,4,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,10,10,0
39,Voluntary Resignation,Non-Travel,2,3,Life Sciences,Male,1,Laboratory Technician,Single,11864,4,No,10,6,4
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Other,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
32,Current employee,Travel_Frequently,2,2,Life Sciences,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Human Resources,Male,1,Laboratory Technician,Single,11864,0,No,8,7,1
34,Voluntary Resignation,Travel_Frequently,23,3,Other,Male,1,Laboratory Technician,Single,11864,1,No,8,7,1
59,Current employee,Travel_Rarely,3,3,Medical,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Human Resources,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Life Sciences,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Medical,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Human Resources,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Medical,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Medical,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Life Sciences,Female,1,Manufacturing Director,Married,13983,1,No,10,0,10
59,Current employee,Travel_Rarely,3,3,Medical,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Medical,Male,1,Research Scientist,Married,4956,0,No,6,5,1
37,Voluntary Resignation,Travel_Rarely,6,4,Human Resources,Female,1,Laboratory Technician,Married,9964,4,Yes,7,3,4
49,Current employee,Travel_Frequently,10,4,Life Sciences,Female,1,Laboratory Technician,Married,9964,9,Yes,22,3,19
59,Current employee,Travel_Rarely,3,3,Medical,Female,5,Manager,Married,13022,0,No,21,20,1
30,Voluntary Resignation,Travel_Frequently,12,4,Life Sciences,Female,1,Laboratory Technician,Married,9964,1,No,1,1,0
41,Current employee,Travel_Rarely,10,4,Human Resources,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
41,Current employee,Travel_Rarely,2,4,Life Sciences,Female,1,Laboratory Technician,Married,9964,2,Yes,13,7,6
31,Voluntary Resignation,Travel_Frequently,1,5,Life Sciences,Female,1,Laboratory Technician,Married,9964,9,No,10,5,5
59,Current employee,Travel_Rarely,3,3,Life Sciences,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Medical,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Human Resources,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
41,Current employee,Travel_Rarely,10,4,Medical,Female,1,Laboratory Technician,Married,9964,1,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Medical,Female,1,Laboratory Technician,Married,9964,4,Yes,12,1,11
59,Current employee,Travel_Rarely,3,3,Life Sciences,Female,1,Manufacturing Director,Married,13983,1,No,10,0,10
30,Current employee,Travel_Rarely,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Human Resources,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Other,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Other,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Human Resources,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Life Sciences,Male,1,Research Scientist,Single,18775,1,No,1,1,0
32,Current employee,Travel_Rarely,1,1,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
36,Current employee,Travel_Rarely,3,3,Technical Degree,Male,1,Laboratory Technician,Divorced,13335,4,No,10,8,2
30,Current employee,Travel_Rarely,24,1,Life Sciences,Female,1,Research Scientist,Divorced,3032,1,No,3,3,0
34,Current employee,Travel_Rarely,1,2,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,Yes,6,6,0
41,Current employee,Travel_Rarely,1,3,Human Resources,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
36,Current employee,Non-Travel,24,4,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,8,No,20,17,3
31,Voluntary Resignation,Travel_Frequently,2,3,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,Yes,0,0,0
41,Current employee,Travel_Rarely,1,3,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Other,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
30,Current employee,Travel_Rarely,24,1,Other,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Human Resources,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
41,Current employee,Travel_Rarely,1,3,Life Sciences,Male,1,Laboratory Technician,Divorced,13335,1,No,1,1,0
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Human Resources,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Other,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Other,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Human Resources,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,2,Research Scientist,Married,7346,1,No,10,10,0
20,Voluntary Resignation,Travel_Frequently,6,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,Yes,1,1,0
31,Current employee,Travel_Frequently,5,3,Marketing,Male,3,Manufacturing Director,Single,8787,1,No,2,2,0
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,1,Laboratory Technician,Married,16734,4,No,9,5,4
31,Voluntary Resignation,Travel_Rarely,13,4,Medical,Male,3,Manufacturing Director,Single,8787,2,No,9,3,6
39,Current employee,Travel_Rarely,3,3,Human Resources,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
32,Current employee,Travel_Rarely,7,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,No,9,9,0
44,Current employee,Non-Travel,5,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,3,No,20,1,19
39,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Other,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Life Sciences,Male,2,Human Resources,Single,4223,0,No,10,9,1
38,Current employee,Travel_Frequently,23,3,Other,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Human Resources,Male,3,Manufacturing Director,Single,8787,0,No,10,9,1
39,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,No,10,9,1
39,Voluntary Resignation,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,4,Yes,12,1,11
40,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,8,No,5,1,4
41,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,2,No,7,1,6
44,Current employee,Travel_Frequently,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,0,Yes,14,10,4
45,Current employee,Non-Travel,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,0,No,16,15,1
45,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,3,No,8,2,6
47,Current employee,Travel_Rarely,3,3,Life Sciences,Male,3,Manufacturing Director,Single,8787,1,Yes,20,20,0
36,Current employee,Travel_Rarely,27,3,Medical,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Human Resources,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Medical,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Technical Degree,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Medical,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Human Resources,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Medical,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Technical Degree,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Medical,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Medical,Female,1,Laboratory Technician,Married,22002,3,No,5,1,4
34,Current employee,Travel_Rarely,6,4,Other,Male,2,Healthcare Representative,Married,16577,1,No,16,16,0
26,Voluntary Resignation,Travel_Rarely,4,4,Marketing,Male,2,Healthcare Representative,Married,16577,1,Yes,8,8,0
36,Current employee,Travel_Rarely,27,3,Medical,Male,3,Research Director,Married,21526,1,No,10,10,0
35,Current employee,Travel_Rarely,25,2,Other,Male,2,Healthcare Representative,Married,16577,4,No,9,3,6
36,Current employee,Travel_Rarely,13,3,Human Resources,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
38,Current employee,Travel_Rarely,25,2,Life Sciences,Male,2,Healthcare Representative,Married,16577,1,No,10,10,0
44,Current employee,Travel_Rarely,20,3,Life Sciences,Male,2,Healthcare Representative,Married,16577,2,Yes,10,8,2
36,Current employee,Travel_Rarely,13,3,Medical,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Technical Degree,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Medical,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Human Resources,Male,2,Healthcare Representative,Married,16577,6,No,17,7,10
36,Current employee,Travel_Rarely,13,3,Medical,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
36,Current employee,Travel_Rarely,27,3,Technical Degree,Male,2,Healthcare Representative,Married,16577,0,No,17,7,10
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Human Resources,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Life Sciences,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Human Resources,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Life Sciences,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Female,2,Manufacturing Director,Single,20682,1,No,11,11,0
37,Current employee,Non-Travel,2,2,Life Sciences,Male,1,Laboratory Technician,Married,16479,5,No,17,1,16
37,Current employee,Travel_Frequently,9,3,Medical,Male,1,Laboratory Technician,Married,16479,1,Yes,4,4,0
35,Current employee,Travel_Rarely,16,3,Medical,Female,1,Research Scientist,Married,18300,5,No,6,2,4
31,Current employee,Travel_Rarely,6,4,Medical,Male,1,Laboratory Technician,Married,16479,4,No,13,7,6
34,Current employee,Travel_Rarely,3,2,Human Resources,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
58,Current employee,Non-Travel,1,4,Life Sciences,Male,1,Laboratory Technician,Married,16479,2,No,10,1,9
30,Current employee,Travel_Rarely,16,1,Life Sciences,Male,1,Laboratory Technician,Married,16479,5,No,8,0,8
34,Current employee,Travel_Rarely,3,2,Life Sciences,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Human Resources,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
34,Current employee,Travel_Rarely,3,2,Life Sciences,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,0,No,6,5,1
35,Current employee,Travel_Rarely,16,3,Medical,Male,1,Laboratory Technician,Married,16479,1,No,6,5,1
29,Current employee,Travel_Rarely,15,2,Life Sciences,Female,2,Laboratory Technician,Single,12682,0,Yes,10,9,1
